user_id,edad,sexo,estado_civil,numero_hijos,empleo_formal,ingreso_mensual,linea_credito,gasto_total,credito_utilizado,monto_promedio_ahorro,ratio_gasto_ingreso,pct_credito_ocupado,tasa_ahorro_real,perfil_financiero
1,58,m,soltero,2,0,37256,30000,50096.43846153846,24132,1117.68,1.3447,0.8044,0.03,RIESGOSO
2,31,m,divorciado,1,1,61354,30000,48551.15384615384,3090,1840.62,0.7913,0.103,0.03,SALUDABLE
3,29,f,divorciado,1,1,28866,15000,56236.53846153846,6267,6350.52,1.9482,0.4178,0.22,RIESGOSO
4,19,f,unión libre,3,0,69261,30000,42495.49230769231,20390,6926.1,0.6136,0.6797,0.1,SALUDABLE
5,62,m,divorciado,0,0,45268,80000,40602.915384615386,62746,4526.8,0.8969,0.7843,0.1,MODERADO
6,35,m,unión libre,3,1,23915,15000,47032.26923076923,10322,2391.5,1.9666,0.6881,0.1,RIESGOSO
7,58,f,unión libre,3,1,34111,80000,49077.06923076923,63335,1023.33,1.4387,0.7917,0.03,MODERADO
8,50,m,divorciado,4,0,13683,120000,38693.54615384615,39535,1368.3,2.8279,0.3295,0.1,RIESGOSO
9,49,f,divorciado,2,0,75154,15000,42662.96923076923,5655,7515.4,0.5677,0.377,0.1,SALUDABLE
10,36,f,casado,2,0,26537,50000,45002.46923076923,20331,5838.14,1.6958,0.4066,0.22,RIESGOSO
11,68,m,unión libre,1,0,51583,30000,45671.42307692308,1452,5158.3,0.8854,0.0484,0.1,SALUDABLE
12,26,f,soltero,3,1,75811,50000,50834.53846153846,8410,16678.42,0.6705,0.1682,0.22,SALUDABLE
13,27,m,soltero,4,0,33006,15000,39997.553846153845,7225,3300.6,1.2118,0.4817,0.1,SALUDABLE
14,70,f,unión libre,0,1,20502,30000,41384.7,4607,2050.2,2.0186,0.1536,0.1,RIESGOSO
15,26,f,casado,4,1,50030,30000,53879.32307692307,9888,11006.6,1.0769,0.3296,0.22,SALUDABLE
16,21,m,casado,0,1,64873,50000,35661.984615384616,37083,14272.06,0.5497,0.7417,0.22,SALUDABLE
17,37,f,casado,3,1,31283,80000,55300.26923076923,41830,938.49,1.7677,0.5229,0.03,RIESGOSO
18,54,f,soltero,4,0,43112,120000,52210.7923076923,107909,9484.64,1.2111,0.8992,0.22,MODERADO
19,65,f,unión libre,0,0,72865,80000,55760.730769230766,14777,2185.95,0.7653,0.1847,0.03,SALUDABLE
